"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm28087",1.45910663167452,1.11639628402731,3.59977122078148,0.310129787577154,0.756462261027006,NA
"Gm28112",3.48943135337557,-3.04139183414859,2.61829776393318,-1.16159127355318,0.245401528424617,NA
"Gm2814",17.044769836076,1.7743458211944,0.603239112452401,2.94136402061365,0.00326770276080011,0.0219505804693426
"Gm28151",23.6325253099606,-1.01014129134073,0.74016115188915,-1.3647585917776,0.172328937389726,0.384265157578821
"Gm28192",7.49746927880661,-0.944141801534225,0.919277456924472,-1.02704770406634,0.304398001828296,0.549309341657307
"Gm2822",2.48364802535578,-2.04130638915926,2.74021298572539,-0.744944425777505,0.456305316868545,NA
"Gm28229",8.0062213864282,-2.03294138849441,1.19959052698055,-1.69469610068651,0.0901330857667778,0.250078385710892
"Gm28277",7.57010447065876,-0.19096993078215,0.983210758322982,-0.194230920650094,0.845995072693571,0.931977810753053
"Gm28323",9.17280559533535,1.32184593044194,1.71775537586018,0.769519309337056,0.441585086109448,0.678966589200268
"Gm28370",130.669926108516,-0.145548680896114,0.45093173207306,-0.322773206105913,0.746867006231257,0.879118354426454
"Gm28379",3.45471410172614,-2.61564981743781,1.78235847638623,-1.46752174273106,0.142234178977848,NA
"Gm28417",73.2349122100497,-0.129380267067608,0.335079314865548,-0.386118334757616,0.699409031624544,0.856386637964194
"Gm28424",12.1332394996317,-1.28720533515106,1.48156929793295,-0.868812101429843,0.384949912958816,0.626917093763125
"Gm28529",5.25221057904835,-0.911584690387274,0.814602082014959,-1.11905519334351,0.263116593419016,NA
"Gm28535",2.40270901695328,-2.68239864918338,2.74726701355148,-0.97638803798534,0.328872207048724,NA
"Gm28557",61.671218740766,-0.386222631153239,0.620922744792823,-0.622013985463049,0.533932671899258,0.74843615788915
"Gm28731",3.8818251420735,0.920733358808695,1.34114776076653,0.686526410991769,0.492381215510392,NA
"Gm28791",22.8201598758082,0.329020371782308,0.870179673293093,0.378106248491382,0.705351666675812,0.858978669099845
"Gm28874",54.5631593572122,0.382378973558401,0.518926406170092,0.736865515055455,0.461204136991588,0.69410989659706
"Gm28941",1.64916861645099,2.12644877001551,2.56188932803102,0.830031471987834,0.406520989973942,NA
"Gm28959",10.9342912158409,0.770133443317784,1.21710648679425,0.632757652410714,0.526891914792904,0.742893315362404
"Gm2897",4.78827907985556,-0.951412881334279,1.37985431965394,-0.689502411800173,0.490507156023693,NA
"Gm28988",3.81501815623812,-1.10961102967797,1.95354826050204,-0.567997756755092,0.570036491148871,NA
