"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fcho2",4402.80909180201,-0.5063860675669,0.317558428636845,-1.59462329417808,0.110796500324658,0.473002609839761
"Fchsd1",406.026803214801,0.132077998077021,0.445007753162019,0.296799318974862,0.766619725436354,0.943719624271356
"Fchsd2",4032.94260402784,-0.461247756411463,0.285090681939381,-1.61789839385048,0.105684496488822,0.462923300463475
"Fcna",16.4535244233174,3.16940559020977,2.49106682349303,1.27230853878322,0.203263515917321,0.610914431190264
"Fcnb",36.2600651352009,8.26694417644342,2.71535502996492,3.04451686251511,0.00233054365055814,0.0509548795434955
"Fcrl1",2450.85316292965,-0.465547621628366,0.260716321954963,-1.78564816401785,0.0741562432426349,0.39297306806567
"Fcrlb",10.8183778762979,0.768530791625462,1.31978946104937,0.582313175174469,0.560355752590065,0.864292332203905
"Fcrls",119125.005637705,0.0849811408631944,0.136938804087655,0.62057750123769,0.53487764672836,0.854911862268487
"Fcsk",260.494112826923,0.949117914402782,0.574264108452615,1.65275506588812,0.0983807224090065,0.448265043577632
"Fdft1",431.303113133754,0.691505672001719,0.385699899412716,1.79285935271084,0.0729954162030071,0.389874977443232
"Fdps",742.690454106114,0.195071369450248,0.247482605389692,0.788222546562754,0.430566543170732,0.803595315465745
"Fdx1",254.106411077907,-0.296848465691313,0.312629246597112,-0.9495223780962,0.342354996015321,0.743842458809018
"Fdx2",220.519930184246,0.137017291546739,0.405170931697021,0.338171573594519,0.735233896225745,0.934562682408363
"Fdxacb1",371.670514644393,-0.0396707881453864,0.381063568739174,-0.104105433843086,0.917085678709418,0.98356662746483
"Fdxr",259.09938481431,0.46268607441468,0.538659827273471,0.858957826420162,0.390363784033323,0.778126899456118
"Fech",2401.22636384886,-0.367100589352281,0.27101759994458,-1.35452675186906,0.175568384497862,0.576970130650438
"Fem1a",1702.67667955485,-0.0897673217449652,0.332618539908354,-0.269880692067551,0.787252041695706,0.950320398876995
"Fem1b",1039.94963848059,-0.761431665271232,0.39171260259948,-1.94385286615296,0.0519131965000599,0.326355038730939
"Fem1c",1022.32759168701,0.00980179731963236,0.278247917206681,0.0352268488405311,0.971898853234695,0.995084775165772
"Fen1",1095.80055167622,0.291179103204591,0.259987603697108,1.1199730258825,0.262725256963496,0.674271037094835
"Fer",1030.04902562842,-0.280032137825236,0.290979079263416,-0.962378939867804,0.335859288688631,0.739030708085512
"Fer1l5",19.1343105068695,-0.0808290746462934,0.853758172047915,-0.0946744374374868,0.924573422725951,0.984813684723035
"Fermt2",7.56617850415862,-0.611378439378702,3.0606026887165,-0.199757531950379,0.841670216436603,NA
